uuid,longitude,latitude,start_date,end_date,type,subtype,comments,nthumbsup,reliability,reportrating,confidence,duration,xcenter,ycenter,start_time,end_time,event
51510ee2-6445-3665-bdeb-ba1d44e010cb,-43.216368999999844,-22.920310000000185,2019-02-23 18:55:00,2019-02-24 00:58:00,ROAD_CLOSED,ROAD_CLOSED_EVENT,Banda Haddock,0.0,6.0,0,0.0,0 days 06:03:00,682917.0792982886,7464192.793070332,1550948100000.0,1550969880000.0,29
51b219cc-9614-3578-b71c-cdfa77ed40c7,-43.224019,-22.971974,2019-02-24 16:26:00,2019-02-24 16:26:00,ROAD_CLOSED,ROAD_CLOSED_EVENT,Bloco Suvaco do Cristo,0.0,6.0,0,0.0,0 days 00:00:00,682063.2114678465,7458481.212400427,1551025560000.0,1551025560000.0,34
5246918e-a863-34a1-9ed6-35921de100ec,-43.31125599999997,-22.841674999999995,2019-02-24 17:27:00,2019-02-24 19:27:00,ROAD_CLOSED,ROAD_CLOSED_EVENT,Bloco Carnavalesco Fala Bobagem,0.0,6.0,0,0.0,0 days 02:00:00,673283.8976044746,7473015.087733475,1551029220000.0,1551036420000.0,27
52608fc7-f44d-32c1-ace2-f031d0a57bab,-43.233411000000096,-22.924756999999943,2019-02-23 22:55:00,2019-02-24 00:58:00,ROAD_CLOSED,ROAD_CLOSED_EVENT,Banda do Tijuca,0.0,6.0,0,0.0,0 days 02:03:00,681163.0615291719,7463721.4511399735,1550962500000.0,1550969880000.0,29
52651f58-e26f-3cd1-8789-e4424b1fc1a6,-43.17230300000003,-22.90958699999999,2019-02-23 10:55:00,2019-02-23 11:17:00,ROAD_CLOSED,ROAD_CLOSED_EVENT," Bloco Chora, Me Liga",0.0,6.0,0,0.0,0 days 00:22:00,687452.0050087224,7465324.74043194,1550919300000.0,1550920620000.0,45
5294747a-d104-3e0d-aebb-cd773442fbb2,-43.20417699999979,-22.900999000000077,2019-02-23 18:55:00,2019-02-23 22:56:00,ROAD_CLOSED,ROAD_CLOSED_EVENT,Bloco Pinto Sarado,0.0,6.095041322314049,0,0.0,0 days 04:01:00,684193.79545966,7466316.009194273,1550948100000.0,1550962560000.0,31
52dab0ce-96b8-3be4-a100-a8ee9af3b8d9,-43.31071299999999,-22.84222599999999,2019-02-24 20:29:00,2019-02-24 21:29:00,ROAD_CLOSED,ROAD_CLOSED_EVENT,Bloco Carnavalesco Fala Bobagem.(201818),0.0,6.0,0,0.0,0 days 01:00:00,673338.9282793957,7472953.43684079,1551040140000.0,1551043740000.0,27
53308393-9288-3bb6-ab74-f19d279cce1f,-43.21840200000001,-22.915907,2019-02-23 20:08:00,2019-02-23 20:08:00,ROAD_CLOSED,ROAD_CLOSED_EVENT,Bloco Urubuzada,0.0,6.0,0,0.0,0 days 00:00:00,682714.4472756375,7464682.891838987,1550952480000.0,1550952480000.0,29
53528fa3-4d74-37ce-96da-6b3014594d17,-43.29827800000018,-22.869840999999894,2019-02-23 18:55:00,2019-02-24 00:58:00,ROAD_CLOSED,ROAD_CLOSED_EVENT,Bloco Serrote Afiado,0.0,6.0,0,0.0,0 days 06:03:00,674579.8685841818,7469880.906538541,1550948100000.0,1550969880000.0,42
53e6d4fd-97e9-3522-969b-3ae8b944b314,-43.21854,-22.96537,2019-02-24 16:26:00,2019-02-24 16:26:00,ROAD_CLOSED,ROAD_CLOSED_EVENT,Bloco Suvaco do Cristo,0.0,6.0,0,0.0,0 days 00:00:00,682633.8890344442,7459205.708847619,1551025560000.0,1551025560000.0,34
5412c4ad-6603-3501-be98-6143c90af62b,-43.30446400000029,-22.835433999999843,2019-02-24 16:55:00,2019-02-24 22:58:00,ROAD_CLOSED,ROAD_CLOSED_EVENT,G.R.B.C. Deixa Que Eu Te Atravesso,0.0,6.0,0,0.0,0 days 06:03:00,673988.9151439052,7473698.169480667,1551027300000.0,1551049080000.0,40
55686e19-a32e-364e-940f-6361505fcb50,-43.266477,-22.923394000000016,2019-02-24 23:31:00,2019-02-24 23:56:00,ROAD_CLOSED,ROAD_CLOSED_EVENT,VAI TOMAR NO GRAJAÚ.(199831),0.0,6.0,0,0.0,0 days 00:25:00,677773.2017819278,7463912.747127177,1551051060000.0,1551052560000.0,44
5581c23f-1bc9-3ae9-a013-2fee834c6004,-43.204177,-22.900999,2019-02-23 23:11:00,2019-02-23 23:11:00,ROAD_CLOSED,ROAD_CLOSED_EVENT,Bloco Pinto Sarado,0.0,6.0,0,0.0,0 days 00:00:00,684193.7954596386,7466316.00919428,1550963460000.0,1550963460000.0,31
558d801d-e77e-3b9c-bbe1-3593e1653e3f,-43.218321,-22.96514,2019-02-24 16:26:00,2019-02-24 16:26:00,ROAD_CLOSED,ROAD_CLOSED_EVENT,Bloco Suvaco do Cristo,0.0,6.0,0,0.0,0 days 00:00:00,682656.6549307639,7459230.905753505,1551025560000.0,1551025560000.0,34
55956bc8-dc1c-3f02-a4ce-0a4c48565e72,-43.39853099999997,-22.888551000000003,2019-02-23 19:55:00,2019-02-23 23:26:00,ROAD_CLOSED,ROAD_CLOSED_EVENT,Bloco do Balde Sulacap,0.0,6.0,0,0.0,0 days 03:31:00,664270.4402322792,7467924.452847137,1550951700000.0,1550964360000.0,35
55a6b60c-586f-32ae-8a0d-18afa2335762,-43.39195699999987,-22.887835999999954,2019-02-23 19:55:00,2019-02-23 23:26:00,ROAD_CLOSED,ROAD_CLOSED_EVENT,Bloco do Balde Sulacap,0.0,6.0,0,0.0,0 days 03:31:00,664945.7558212235,7467996.274814285,1550951700000.0,1550964360000.0,35
55d08631-37ad-364d-a3cf-a58e3aa631a5,-43.198723000000065,-22.98672500000004,2019-02-24 20:58:00,2019-02-24 22:58:00,ROAD_CLOSED,ROAD_CLOSED_EVENT,Simpatia é Quase Amor,0.0,6.0,0,0.0,0 days 02:00:00,684636.9485683976,7456816.1081444025,1551041880000.0,1551049080000.0,33
55daa5c1-14d9-35c6-b748-a0407f6897cb,-43.21844600000019,-22.965272000000105,2019-02-24 11:15:00,2019-02-24 16:00:00,ROAD_CLOSED,ROAD_CLOSED_EVENT,Bloco Suvaco do Cristo,0.0,6.0,0,0.0,0 days 04:45:00,682643.6597189221,7459216.44406933,1551006900000.0,1551024000000.0,34
562d5422-4981-3f05-8be3-4280c1b14ff0,-43.221064999995534,-22.889240999997806,2019-02-19 23:57:00,2019-02-24 23:56:00,ROAD_CLOSED,ROAD_CLOSED_EVENT,Obras BRT TransBrasil,0.0,6.0,0,0.0,4 days 23:59:00,682476.9687439785,7467639.079055016,1550620620000.0,1551052560000.0,5
564b2017-629b-303c-a96e-8add68ee68af,-43.20265500000003,-22.913242999999998,2019-02-24 22:30:00,2019-02-24 22:58:00,ROAD_CLOSED,ROAD_CLOSED_EVENT,Blocos Filhos de Ismael,0.0,6.0,0,0.0,0 days 00:28:00,684333.3788435545,7464958.243764278,1551047400000.0,1551049080000.0,49
568152ec-5232-32ef-a882-7216f4f2db7c,-43.20286099999989,-22.900309999999994,2019-02-23 18:55:00,2019-02-23 22:56:00,ROAD_CLOSED,ROAD_CLOSED_EVENT,Bloco Pinto Sarado,0.0,6.0,0,0.0,0 days 04:01:00,684329.7374477852,7466390.658833379,1550948100000.0,1550962560000.0,31
56d3ec5b-2f89-36d6-9b2e-93926c46e806,-43.398060999999906,-22.888335,2019-02-23 19:55:00,2019-02-23 23:26:00,ROAD_CLOSED,ROAD_CLOSED_EVENT,Bloco do Balde Sulacap,0.0,6.0,0,0.0,0 days 03:31:00,664318.9193877443,7467947.845798185,1550951700000.0,1550964360000.0,35
5700e4b4-7366-3f20-a9c0-510b008a11ac,-43.20295100000011,-22.98650899999998,2019-02-24 20:57:00,2019-02-24 22:57:00,ROAD_CLOSED,ROAD_CLOSED_EVENT,Simpatia é Quase Amor,0.0,6.0,0,0.0,0 days 02:00:00,684203.7578450083,7456845.344961312,1551041820000.0,1551049020000.0,33
578b279f-ac2f-3925-8407-52dc59817589,-43.349308,-22.927068,2019-02-23 23:11:00,2019-02-23 23:13:00,ROAD_CLOSED,ROAD_CLOSED_EVENT,Banda do Pechincha,0.0,6.0,0,0.0,0 days 00:02:00,669272.6060162582,7463603.680892615,1550963460000.0,1550963580000.0,32
