uuid,longitude,latitude,type,subtype,comments,start_date,end_date,alerts,duration,type_subtype,xcenter,ycenter,start_time,end_time,event
938dbf41-e056-3089-96e4-4d774513274d,-43.177804,-22.965713,road_closed,road_closed_event,banda lido copacabana,2019-03-01 19:55:00,2019-03-02 00:56:00,302,-1 days +18:59:00.000000000,road_closed_road_closed_event,686810.6156529546,7459116.453568298,1551470100000.0,1551488160000.0,61
93a4fd08-9384-322d-8479-af0ddd7ccbe6,-43.247678,-22.863772,road_closed,road_closed_event,ocorrencia policial,2019-02-06 15:27:00,2019-02-06 15:28:00,2,-1 days +23:59:00.000000000,road_closed_road_closed_event,679780.0393992641,7470492.110477194,1549466820000.0,1549466880000.0,37
93adbc48-1a78-3c1f-b8a1-d17255eff2c9,-43.198335,-22.90932,road_closed,road_closed_event,desfile campeas,2019-03-09 13:48:00,2019-03-10 14:56:00,1509,-2 days +22:52:00.000000000,road_closed_road_closed_event,684781.8546357441,7465387.24383729,1552139280000.0,1552229760000.0,10
93ae86f4-602b-3b4f-837b-e300addd1c05,-43.188761,-22.978298,road_closed,road_closed_event,reveillon,2019-01-01 15:36:00,2019-01-01 16:36:00,61,-1 days +23:00:00.000000000,road_closed_road_closed_event,685669.8466849069,7457736.720335346,1546356960000.0,1546360560000.0,8
93b22f8d-6d3c-350a-95c7-f46b66435766,-43.187838,-22.976307,road_closed,road_closed_event,reveillon,2019-01-01 12:35:00,2019-01-01 13:35:00,61,-1 days +23:00:00.000000000,road_closed_road_closed_event,685767.2084554087,7457956.031406786,1546346100000.0,1546349700000.0,8
93c4b893-3c58-39d2-b6a0-bc20d3c9281e,-43.174664,-22.963167,road_closed,road_closed_event,reveillon,2018-12-31 08:56:00,2019-01-01 20:57:00,2160,-2 days +11:59:00.000000000,road_closed_road_closed_event,687136.1087387584,7459394.393595869,1546246560000.0,1546376220000.0,8
93cc2491-d75a-39df-940f-1f1343357080,-43.252928,-22.838992,road_closed,road_closed_event,carnaval   piscinao ramos,2019-03-03 20:57:00,2019-03-04 04:56:00,480,-1 days +16:01:00.000000000,road_closed_road_closed_event,679273.7992457934,7473242.4892751835,1551646620000.0,1551675360000.0,4
93d58da4-c022-3322-bcc3-5058bc66b781,-43.17217700000001,-22.909458,road_closed,road_closed_event,monobloco,2019-03-10 10:57:00,2019-03-10 16:56:00,360,-1 days +18:01:00.000000000,road_closed_road_closed_event,687465.1083421026,7465338.865061669,1552215420000.0,1552236960000.0,77
93ddcf40-79d5-3cd1-84ff-8c7256ca146c,-43.200672,-22.908558,road_closed,road_closed_event,carnaval rio,2019-03-02 12:18:00,2019-03-02 12:21:00,4,-1 days +23:57:00.000000000,road_closed_road_closed_event,684543.1444443533,7465474.55893464,1551529080000.0,1551529260000.0,22
93e56a3c-1891-3e7c-94ac-5b9da8578104,-43.19841,-22.91083,road_closed,road_closed_event,carnaval rio,2019-03-01 17:55:00,2019-03-04 13:43:00,4049,-3 days +04:12:00.000000000,road_closed_road_closed_event,684772.1132628734,7465220.125377372,1551462900000.0,1551706980000.0,22
